"ID","GRP","COND","Total_BIQ","Total_Soc_Nov"
201,"BI","ECL",163,86
201,"BI","EOP",163,86
202,"BI","ECL",144,78
202,"BI","EOP",144,78
203,"BI","ECL",147,71
203,"BI","EOP",147,71
204,"BI","ECL",164,92
204,"BI","EOP",164,92
205,"BI","ECL",131,84
205,"BI","EOP",131,84
206,"BN","ECL",100,49
206,"BN","EOP",100,49
207,"BI","ECL",106,61
207,"BI","EOP",106,61
208,"BN","ECL",63,28
208,"BN","EOP",63,28
209,"BI","ECL",143,68
209,"BI","EOP",143,68
210,"BN","ECL",93,43
210,"BN","EOP",93,43
211,"BI","ECL",129,83
211,"BI","EOP",129,83
212,"BN","ECL",90,44
212,"BN","EOP",90,44
213,"BN","ECL",53,26
213,"BN","EOP",53,26
214,"BI","ECL",158,85
214,"BI","EOP",158,85
215,"BI","ECL",106,63
215,"BI","EOP",106,63
216,"BI","ECL",96,60
216,"BI","EOP",96,60
217,"BI","ECL",105,60
217,"BI","EOP",105,60
218,"BN","ECL",113,58
218,"BN","EOP",113,58
219,"BN","ECL",52,17
219,"BN","EOP",52,17
220,"BN","ECL",44,22
220,"BN","EOP",44,22
221,"BN","ECL",72,45
221,"BN","EOP",72,45
222,"BI","ECL",113,60
222,"BI","EOP",113,60
223,"BN","ECL",68.5,44.5
223,"BN","EOP",68.5,44.5
224,"BI","ECL",121,63
224,"BI","EOP",121,63
225,"BI","ECL",152,75
225,"BI","EOP",152,75
226,"BI","ECL",115,69
226,"BI","EOP",115,69
227,"BN","ECL",112,54
227,"BN","EOP",112,54
228,"BI","ECL",114,62
228,"BI","EOP",114,62
229,"BN","ECL",81,40
229,"BN","EOP",81,40
230,"BI","ECL",122,61
230,"BI","EOP",122,61
231,"BN","ECL",42,22
231,"BN","EOP",42,22
232,"BN","ECL",53,21
232,"BN","EOP",53,21
233,"BN","ECL",70,28
233,"BN","EOP",70,28
234,"BN","ECL",99,53
234,"BN","EOP",99,53
235,"BN","ECL",80,34
235,"BN","EOP",80,34
236,"BI","ECL",137,72
236,"BI","EOP",137,72
237,"BI","ECL",111,65
237,"BI","EOP",111,65
238,"BN","ECL",86,43
238,"BN","EOP",86,43
239,"BN","ECL",72,34
239,"BN","EOP",72,34
240,"BI","ECL",123,59
240,"BI","EOP",123,59
241,"BN","ECL",83,53
241,"BN","EOP",83,53
242,"BN","ECL",108,51
242,"BN","EOP",108,51
243,"BN","ECL",100,47
243,"BN","EOP",100,47
244,"BI","ECL",148,74
244,"BI","EOP",148,74
245,"BI","ECL",113,66
245,"BI","EOP",113,66
246,"BN","ECL",70,36
246,"BN","EOP",70,36
247,"BN","ECL",73,35
247,"BN","EOP",73,35
248,"BN","ECL",81,42
248,"BN","EOP",81,42
249,"BN","ECL",89,42
249,"BN","EOP",89,42
250,"BN","ECL",96,52
250,"BN","EOP",96,52
251,"BI","ECL",100,65
251,"BI","EOP",100,65
252,"BN","ECL",87,43
252,"BN","EOP",87,43
253,"BN","ECL",65,31
253,"BN","EOP",65,31
254,"BI","ECL",104,60
254,"BI","EOP",104,60
255,"BI","ECL",123,63
255,"BI","EOP",123,63
256,"BI","ECL",165,94
256,"BI","EOP",165,94
257,"BI","ECL",124,69
257,"BI","EOP",124,69
258,"BI","ECL",119,63
258,"BI","EOP",119,63
259,"BN","ECL",51,26
259,"BN","EOP",51,26
260,"BI","ECL",144,76
260,"BI","EOP",144,76
